,miRNA,Target Gene,Target Gene (Entrez Gene ID)
0,mmu-let-7a-5p,ACVR1B,91
1,mmu-let-7a-5p,Apc2,23805
2,mmu-let-7a-5p,Armc2,213402
3,mmu-let-7a-5p,Cts8,56094
4,mmu-let-7a-5p,Gnl3l,237107
5,mmu-let-7a-5p,Hmga2,15364
6,mmu-let-7a-5p,Hoxa9,15405
7,mmu-let-7a-5p,IL6,3569
8,mmu-let-7a-5p,Il13,16163
9,mmu-let-7a-5p,Lin28a,83557
10,mmu-let-7a-5p,Nf2,18016
11,mmu-let-7a-5p,Trim71,636931
12,mmu-let-7b-5p,ACVR1B,91
13,mmu-let-7b-5p,Apc2,23805
14,mmu-let-7b-5p,Armc2,213402
15,mmu-let-7b-5p,Atp2b2,11941
16,mmu-let-7b-5p,Bsg,12215
17,mmu-let-7b-5p,Cts8,56094
18,mmu-let-7b-5p,Gnl3l,237107
19,mmu-let-7b-5p,Msi2,76626
20,mmu-let-7b-5p,Mtpn,14489
21,mmu-let-7b-5p,Nf2,18016
22,mmu-let-7b-5p,Nr2e1,21907
23,mmu-let-7c-5p,Apc2,23805
24,mmu-let-7c-5p,Armc2,213402
25,mmu-let-7c-5p,Cts8,56094
26,mmu-let-7c-5p,EZH2,2146
27,mmu-let-7c-5p,Gnl3l,237107
28,mmu-let-7c-5p,Lin28a,83557
29,mmu-let-7c-5p,Myc,17869
30,mmu-let-7c-5p,Mycn,18109
31,mmu-let-7c-5p,Nf2,18016
32,mmu-let-7c-5p,Sall4,99377
33,mmu-let-7d-5p,Apc2,23805
34,mmu-let-7d-5p,Armc2,213402
35,mmu-let-7d-5p,Cts8,56094
36,mmu-let-7d-5p,Drd3,13490
37,mmu-let-7d-5p,Gnl3l,237107
38,mmu-let-7d-5p,Nf2,18016
39,mmu-let-7e-5p,Apc2,23805
40,mmu-let-7e-5p,Armc2,213402
41,mmu-let-7e-5p,Col1a1,12842
42,mmu-let-7e-5p,Col1a2,12843
43,mmu-let-7e-5p,Col24a1,71355
44,mmu-let-7e-5p,Col27a1,373864
45,mmu-let-7e-5p,Col3a1,12825
46,mmu-let-7e-5p,Cts8,56094
47,mmu-let-7e-5p,Gnl3l,237107
48,mmu-let-7e-5p,Il10,16153
49,mmu-let-7e-5p,Itga1,109700
50,mmu-let-7e-5p,Itga4,16401
51,mmu-let-7e-5p,Nf2,18016
52,mmu-let-7e-5p,Scd1,20249
53,mmu-let-7e-5p,Thbs1,21825
54,mmu-let-7e-5p,Tlr4,21898
55,mmu-let-7e-5p,Trim71,636931
56,mmu-let-7f-5p,Apc2,23805
57,mmu-let-7f-5p,Armc2,213402
58,mmu-let-7f-5p,Cts8,56094
59,mmu-let-7f-5p,Gnl3l,237107
60,mmu-let-7f-5p,Nf2,18016
61,mmu-let-7g-5p,Apc2,23805
62,mmu-let-7g-5p,Armc2,213402
63,mmu-let-7g-5p,Cts8,56094
64,mmu-let-7g-5p,Gnl3l,237107
65,mmu-let-7g-5p,Nf2,18016
66,mmu-let-7i-5p,Apc2,23805
67,mmu-let-7i-5p,Armc2,213402
68,mmu-let-7i-5p,Col1a2,12843
69,mmu-let-7i-5p,Cts8,56094
70,mmu-let-7i-5p,Gnl3l,237107
71,mmu-let-7i-5p,Il6,16193
72,mmu-let-7i-5p,Nf2,18016
73,mmu-miR-101a-3p,Ackr3,12778
74,mmu-miR-101a-3p,Akt1,11651
75,mmu-miR-101a-3p,Atxn1,20238
76,mmu-miR-101a-3p,COX2,17709
77,mmu-miR-101a-3p,Car10,72605
78,mmu-miR-101a-3p,Dnajb4,67035
79,mmu-miR-101a-3p,Dusp1,19252
80,mmu-miR-101a-3p,Neurod1,18012
81,mmu-miR-101a-3p,Ptgs2,19225
82,mmu-miR-101b-3p,Atxn1,20238
83,mmu-miR-101b-3p,COX2,4513
84,mmu-miR-101b-3p,Car10,72605
85,mmu-miR-101b-3p,Dnajb4,67035
86,mmu-miR-101b-3p,Prkaa1,105787
87,mmu-miR-101b-3p,Stc1,20855
88,mmu-miR-101c,1700028K03Rik,76421
89,mmu-miR-101c,Dnajb4,67035
90,mmu-miR-101c,Fam78b,226610
91,mmu-miR-103-3p,Dhdh,71755
92,mmu-miR-103-3p,Irgq,210146
93,mmu-miR-103-3p,Klc1,16593
94,mmu-miR-103-3p,Nf1,18015
95,mmu-miR-105,Agtrap,11610
96,mmu-miR-105,Auts2,319974
97,mmu-miR-105,Coa5,76178
98,mmu-miR-105,Luc7l2,192196
99,mmu-miR-106a-5p,App,11820
100,mmu-miR-106a-5p,Arid4b,94246
101,mmu-miR-106a-5p,Bmpr2,12168
102,mmu-miR-106a-5p,Cd28,12487
103,mmu-miR-106a-5p,Fam227a,75729
104,mmu-miR-106a-5p,Hif1a,15251
105,mmu-miR-106a-5p,Hipk3,15259
106,mmu-miR-106a-5p,Mylip,218203
107,mmu-miR-106a-5p,Sqstm1,18412
108,mmu-miR-106a-5p,Stat3,20848
109,mmu-miR-106a-5p,Vegfa,22339
110,mmu-miR-106b-5p,Bcl2l11,12125
111,mmu-miR-106b-5p,CYBB,1536
112,mmu-miR-106b-5p,Cd28,12487
113,mmu-miR-106b-5p,Egr2,13654
114,mmu-miR-106b-5p,Fam227a,75729
115,mmu-miR-106b-5p,Fgfr1op2,67529
116,mmu-miR-106b-5p,Klf9,16601
117,mmu-miR-106b-5p,Mapk14,26416
118,mmu-miR-106b-5p,Smad5,17129
119,mmu-miR-106b-5p,Stat3,20848
120,mmu-miR-106b-5p,ULK1,8408
121,mmu-miR-107-3p,Cdk6,12571
122,mmu-miR-107-3p,Dhdh,71755
123,mmu-miR-107-3p,Hif1a,15251
124,mmu-miR-107-3p,Irgq,210146
125,mmu-miR-107-3p,Klc1,16593
126,mmu-miR-10a-3p,Creb1,12912
127,mmu-miR-10a-5p,9330159F19Rik,212448
128,mmu-miR-10a-5p,Ajuba,16475
129,mmu-miR-10a-5p,B4galnt2,14422
130,mmu-miR-10a-5p,Bach2,12014
131,mmu-miR-10a-5p,Bcl2l11,12125
132,mmu-miR-10a-5p,C5ar2,319430
133,mmu-miR-10a-5p,Cbln3,56410
134,mmu-miR-10a-5p,Ccdc127,67433
135,mmu-miR-10a-5p,Ccl9,20308
136,mmu-miR-10a-5p,Cdk7,12572
137,mmu-miR-10a-5p,Cep97,74201
138,mmu-miR-10a-5p,Cflar,12633
139,mmu-miR-10a-5p,Cmklr1,14747
140,mmu-miR-10a-5p,Dhx37,208144
141,mmu-miR-10a-5p,Dnase2a,13423
142,mmu-miR-10a-5p,Dusp3,72349
143,mmu-miR-10a-5p,E130311K13Rik,329659
144,mmu-miR-10a-5p,Fam208a,218850
145,mmu-miR-10a-5p,Fnip2,329679
146,mmu-miR-10a-5p,Foxl1,14241
147,mmu-miR-10a-5p,Gmeb1,56809
148,mmu-miR-10a-5p,Hdac4,208727
149,mmu-miR-10a-5p,Il1rl1,17082
150,mmu-miR-10a-5p,Klf4,16600
151,mmu-miR-10a-5p,Lats1,16798
152,mmu-miR-10a-5p,Lrrc58,320184
153,mmu-miR-10a-5p,March2,224703
154,mmu-miR-10a-5p,Mga,29808
155,mmu-miR-10a-5p,Nkiras1,69721
156,mmu-miR-10a-5p,Pde4c,110385
157,mmu-miR-10a-5p,Pex13,72129
158,mmu-miR-10a-5p,Rad1,19355
159,mmu-miR-10a-5p,Rfxank,19727
160,mmu-miR-10a-5p,Rhbdl3,246104
161,mmu-miR-10a-5p,Rho,212541
162,mmu-miR-10a-5p,Ripor2,193385
163,mmu-miR-10a-5p,Shroom1,71774
164,mmu-miR-10a-5p,Slc8b1,170756
165,mmu-miR-10a-5p,Smad9,55994
166,mmu-miR-10a-5p,Smco1,69576
167,mmu-miR-10a-5p,Tbl1xr1,81004
168,mmu-miR-10a-5p,Tfam,21780
169,mmu-miR-10a-5p,Timmdc1,76916
170,mmu-miR-10a-5p,Tmem263,103266
171,mmu-miR-10a-5p,Ttyh1,57776
172,mmu-miR-10a-5p,Usp45,77593
173,mmu-miR-10a-5p,Xkrx,331524
174,mmu-miR-10a-5p,Xrcc2,57434
175,mmu-miR-10a-5p,Zbtb6,241322
176,mmu-miR-10a-5p,Zfp446,269870
177,mmu-miR-10b-5p,9330159F19Rik,212448
178,mmu-miR-10b-5p,Ajuba,16475
179,mmu-miR-10b-5p,B4galnt2,14422
180,mmu-miR-10b-5p,Bach2,12014
181,mmu-miR-10b-5p,C5ar2,319430
182,mmu-miR-10b-5p,Cbln3,56410
183,mmu-miR-10b-5p,Ccdc127,67433
184,mmu-miR-10b-5p,Ccl9,20308
185,mmu-miR-10b-5p,Cdk7,12572
186,mmu-miR-10b-5p,Cep97,74201
187,mmu-miR-10b-5p,Cflar,12633
188,mmu-miR-10b-5p,Cmklr1,14747
189,mmu-miR-10b-5p,Dhx37,208144
190,mmu-miR-10b-5p,Dnase2a,13423
191,mmu-miR-10b-5p,Dusp3,72349
192,mmu-miR-10b-5p,E130311K13Rik,329659
193,mmu-miR-10b-5p,Fam208a,218850
194,mmu-miR-10b-5p,Fnip2,329679
195,mmu-miR-10b-5p,Foxl1,14241
196,mmu-miR-10b-5p,Gmeb1,56809
197,mmu-miR-10b-5p,Hoxd10,15430
198,mmu-miR-10b-5p,Il1rl1,17082
199,mmu-miR-10b-5p,Lats1,16798
200,mmu-miR-10b-5p,Lrrc58,320184
201,mmu-miR-10b-5p,March2,224703
202,mmu-miR-10b-5p,Mga,29808
203,mmu-miR-10b-5p,Nkiras1,69721
204,mmu-miR-10b-5p,Pde4c,110385
205,mmu-miR-10b-5p,Pex13,72129
206,mmu-miR-10b-5p,Rad1,19355
207,mmu-miR-10b-5p,Rfxank,19727
208,mmu-miR-10b-5p,Rhbdl3,246104
209,mmu-miR-10b-5p,Ripor2,193385
210,mmu-miR-10b-5p,Shroom1,71774
211,mmu-miR-10b-5p,Slc8b1,170756
212,mmu-miR-10b-5p,Smad9,55994
213,mmu-miR-10b-5p,Smco1,69576
214,mmu-miR-10b-5p,Tbl1xr1,81004
215,mmu-miR-10b-5p,Tfam,21780
216,mmu-miR-10b-5p,Timmdc1,76916
217,mmu-miR-10b-5p,Tmem263,103266
218,mmu-miR-10b-5p,Ttyh1,57776
219,mmu-miR-10b-5p,Usp45,77593
220,mmu-miR-10b-5p,Xkrx,331524
221,mmu-miR-10b-5p,Xrcc2,57434
222,mmu-miR-10b-5p,Zbtb6,241322
223,mmu-miR-10b-5p,Zfp446,269870
224,mmu-miR-1186a,Myo1e,71602
225,mmu-miR-1186a,Wfs1,22393
226,mmu-miR-1186b,Foxr1,382074
227,mmu-miR-1186b,Gla,11605
228,mmu-miR-1186b,Loxl2,94352
229,mmu-miR-1186b,Myo1e,71602
230,mmu-miR-1186b,Prc1,233406
231,mmu-miR-1186b,Wdr34,71820
232,mmu-miR-1187,Casp8,12370
233,mmu-miR-1187,Cnih3,72978
234,mmu-miR-1187,Cox15,226139
235,mmu-miR-1187,D630045J12Rik,330286
236,mmu-miR-1187,Dnaaf5,433956
237,mmu-miR-1187,Fam107a,268709
238,mmu-miR-1187,Gnb4,14696
239,mmu-miR-1187,Igf2,16002
240,mmu-miR-1187,Insig2,72999
241,mmu-miR-1187,Nsd3,234135
242,mmu-miR-1187,Rab9b,319642
243,mmu-miR-1187,Sike1,66641
244,mmu-miR-1187,Slc22a8,19879
245,mmu-miR-1187,Slc39a14,213053
246,mmu-miR-1187,Vps33b,233405
247,mmu-miR-1187,Zfhx3,11906
248,mmu-miR-1188-5p,Gas2l3,237436
249,mmu-miR-1188-5p,Mrgpre,244238
250,mmu-miR-1188-5p,Pfkl,18641
251,mmu-miR-1188-5p,Reps2,194590
252,mmu-miR-1188-5p,Saa4,20211
253,mmu-miR-1190,2900026A02Rik,243219
254,mmu-miR-1190,3110082I17Rik,73212
255,mmu-miR-1191a,Dzank1,241688
256,mmu-miR-1191a,Hecw1,94253
257,mmu-miR-1192,Ado,211488
258,mmu-miR-1192,Cdk7,12572
259,mmu-miR-1192,Cpeb3,208922
260,mmu-miR-1192,Faf1,14084
261,mmu-miR-1192,Fam208a,218850
262,mmu-miR-1192,Fubp3,320267
263,mmu-miR-1192,Gmeb1,56809
264,mmu-miR-1192,Lnpk,69605
265,mmu-miR-1192,Ncam1,17967
266,mmu-miR-1192,Nlgn2,216856
267,mmu-miR-1192,Pex13,72129
268,mmu-miR-1192,Prrg4,228413
269,mmu-miR-1192,Scamp1,107767
270,mmu-miR-1192,Sgms2,74442
271,mmu-miR-1192,Slc15a1,56643
272,mmu-miR-1192,Tedc1,104732
273,mmu-miR-1193-3p,Trem1,58217
274,mmu-miR-1194,Cd300a,217303
275,mmu-miR-1194,Gtf2h2,23894
276,mmu-miR-1194,H2-T24,15042
277,mmu-miR-1194,Osbpl8,237542
278,mmu-miR-1194,Pctp,18559
279,mmu-miR-1194,Tox4,268741
280,mmu-miR-1195,2810021J22Rik,69944
281,mmu-miR-1195,9330159F19Rik,212448
282,mmu-miR-1195,Aco1,11428
283,mmu-miR-1195,Arvcf,11877
284,mmu-miR-1195,Bbs1,52028
285,mmu-miR-1195,Bpnt1,23827
286,mmu-miR-1195,Cbfa2t2,12396
287,mmu-miR-1195,Cd93,17064
288,mmu-miR-1195,Coq3,230027
289,mmu-miR-1195,Cracr2b,213573
290,mmu-miR-1195,Cwc25,67480
291,mmu-miR-1195,Dhx37,208144
292,mmu-miR-1195,Dll3,13389
293,mmu-miR-1195,Dnase2a,13423
294,mmu-miR-1195,Dynll1,56455
295,mmu-miR-1195,Ebna1bp2,69072
296,mmu-miR-1195,Fam161b,217705
297,mmu-miR-1195,Fam208a,218850
298,mmu-miR-1195,Fbxo43,78803
299,mmu-miR-1195,Gaa,14387
300,mmu-miR-1195,Gdf3,14562
301,mmu-miR-1195,Gdpgp1,269952
302,mmu-miR-1195,Gfpt1,14583
303,mmu-miR-1195,Gngt1,14699
304,mmu-miR-1195,Gpr157,269604
305,mmu-miR-1195,H2-T24,15042
306,mmu-miR-1195,Hnrnpab,15384
307,mmu-miR-1195,Il1rl1,17082
308,mmu-miR-1195,Kcnj10,16513
309,mmu-miR-1195,Kcnk6,52150
310,mmu-miR-1195,Lix1,66643
311,mmu-miR-1195,Lrrc58,320184
312,mmu-miR-1195,Mga,29808
313,mmu-miR-1195,Mrpl40,18100
314,mmu-miR-1195,Mzt1,76789
315,mmu-miR-1195,Ncbp3,66874
316,mmu-miR-1195,Nkiras1,69721
317,mmu-miR-1195,Nploc4,217365
318,mmu-miR-1195,Nrcam,319504
319,mmu-miR-1195,Ooep,67968
320,mmu-miR-1195,Osbpl8,237542
321,mmu-miR-1195,Ostf1,20409
322,mmu-miR-1195,Paxip1,55982
323,mmu-miR-1195,Pctp,18559
324,mmu-miR-1195,Pde4c,110385
325,mmu-miR-1195,Pdxk,216134
326,mmu-miR-1195,Pin1,23988
327,mmu-miR-1195,Plekhh1,211945
328,mmu-miR-1195,Polr3gl,69870
329,mmu-miR-1195,Rab11b,19326
330,mmu-miR-1195,Rdh13,108841
331,mmu-miR-1195,Rrp1b,72462
332,mmu-miR-1195,Saysd1,67509
333,mmu-miR-1195,Scn2b,72821
334,mmu-miR-1195,Sgk3,170755
335,mmu-miR-1195,Slc25a27,74011
336,mmu-miR-1195,Slc25a51,230125
337,mmu-miR-1195,Slc28a3,114304
338,mmu-miR-1195,Slc35e1,270066
339,mmu-miR-1195,Smco1,69576
340,mmu-miR-1195,Supt7l,72195
341,mmu-miR-1195,Tbx20,57246
342,mmu-miR-1195,Tmem263,103266
343,mmu-miR-1195,Tmx4,52837
344,mmu-miR-1195,Tox4,268741
345,mmu-miR-1195,Tpmt,22017
346,mmu-miR-1195,Trub1,72133
347,mmu-miR-1195,Ttc26,264134
348,mmu-miR-1195,Ubac1,98766
349,mmu-miR-1195,Ube2n,93765
350,mmu-miR-1195,Vav1,22324
351,mmu-miR-1195,Xpo1,103573
352,mmu-miR-1195,Xrcc2,57434
353,mmu-miR-1195,Zfp446,269870
354,mmu-miR-1195,Zfp780b,338354
355,mmu-miR-1195,Zfp830,66983
356,mmu-miR-1196-5p,Desi2,78825
357,mmu-miR-1196-5p,Gfpt1,14583
358,mmu-miR-1196-5p,Lonrf3,74365
359,mmu-miR-1197-3p,Amotl1,75723
360,mmu-miR-1197-3p,Luc7l2,192196
361,mmu-miR-1197-3p,N4bp1,80750
362,mmu-miR-1198-3p,Lars2,102436
363,mmu-miR-1198-5p,Casp8,12370
364,mmu-miR-1198-5p,Cox15,226139
365,mmu-miR-1198-5p,D630045J12Rik,330286
366,mmu-miR-1198-5p,Dnaaf5,433956
367,mmu-miR-1198-5p,Gnb4,14696
368,mmu-miR-1198-5p,Igf2,16002
369,mmu-miR-1198-5p,Nsd3,234135
370,mmu-miR-1198-5p,Rab9b,319642
371,mmu-miR-1198-5p,Rorb,225998
372,mmu-miR-1198-5p,Scamp2,24044
373,mmu-miR-1198-5p,Sike1,66641
374,mmu-miR-1198-5p,Slc22a8,19879
375,mmu-miR-1198-5p,Smarca2,67155
376,mmu-miR-1198-5p,Vps33b,233405
377,mmu-miR-1198-5p,Zfhx3,11906
378,mmu-miR-1199-5p,2810006K23Rik,72650
379,mmu-miR-1199-5p,2810021J22Rik,69944
380,mmu-miR-1199-5p,4930519G04Rik,67593
381,mmu-miR-1199-5p,Aco1,11428
382,mmu-miR-1199-5p,Bpnt1,23827
383,mmu-miR-1199-5p,Cd93,17064
384,mmu-miR-1199-5p,Cdr2l,237988
385,mmu-miR-1199-5p,Commd8,27784
386,mmu-miR-1199-5p,Cracr2b,213573
387,mmu-miR-1199-5p,Cwc25,67480
388,mmu-miR-1199-5p,Dhx37,208144
389,mmu-miR-1199-5p,Dnase2a,13423
390,mmu-miR-1199-5p,Ercc6,319955
391,mmu-miR-1199-5p,Fbxo30,71865
392,mmu-miR-1199-5p,Fitm2,228859
393,mmu-miR-1199-5p,Gdf3,14562
394,mmu-miR-1199-5p,Ggcx,56316
395,mmu-miR-1199-5p,Gngt1,14699
396,mmu-miR-1199-5p,Gpr157,269604
397,mmu-miR-1199-5p,Helb,117599
398,mmu-miR-1199-5p,Hnrnpab,15384
399,mmu-miR-1199-5p,Il1rl1,17082
400,mmu-miR-1199-5p,Isg20l2,229504
401,mmu-miR-1199-5p,Lix1,66643
402,mmu-miR-1199-5p,Lrrc58,320184
403,mmu-miR-1199-5p,Mbd4,17193
404,mmu-miR-1199-5p,Mmachc,67096
405,mmu-miR-1199-5p,Mzt1,76789
406,mmu-miR-1199-5p,Nf2,18016
407,mmu-miR-1199-5p,Nploc4,217365
408,mmu-miR-1199-5p,Nrcam,319504
409,mmu-miR-1199-5p,Osbpl8,237542
410,mmu-miR-1199-5p,Ostf1,20409
411,mmu-miR-1199-5p,Pde4c,110385
412,mmu-miR-1199-5p,Pnpla3,116939
413,mmu-miR-1199-5p,Ptk6,20459
414,mmu-miR-1199-5p,Ptprn2,19276
415,mmu-miR-1199-5p,Rab11b,19326
416,mmu-miR-1199-5p,Rrp1b,72462
417,mmu-miR-1199-5p,Sgk3,170755
418,mmu-miR-1199-5p,Slc25a51,230125
419,mmu-miR-1199-5p,Slc28a3,114304
420,mmu-miR-1199-5p,Supt7l,72195
421,mmu-miR-1199-5p,Tbx20,57246
422,mmu-miR-1199-5p,Tmem263,103266
423,mmu-miR-1199-5p,Trmt10a,108943
424,mmu-miR-1199-5p,Trub1,72133
425,mmu-miR-1199-5p,Tspan31,67125
426,mmu-miR-1199-5p,Ttc26,264134
427,mmu-miR-1199-5p,Zfp26,22688
428,mmu-miR-1199-5p,Zfp444,72667
429,mmu-miR-1199-5p,Zfp446,269870
430,mmu-miR-1199-5p,Zfp459,328274
431,mmu-miR-1199-5p,Zfp791,244556
432,mmu-miR-122-5p,Aldoa,11674
433,mmu-miR-122-5p,Alpl,11647
434,mmu-miR-122-5p,Apob,238055
435,mmu-miR-122-5p,Bckdk,12041
436,mmu-miR-122-5p,Ccrn4l,12457
437,mmu-miR-122-5p,Cd320,54219
438,mmu-miR-122-5p,Cers6,241447
439,mmu-miR-122-5p,Cs,12974
440,mmu-miR-122-5p,Ddc,13195
441,mmu-miR-122-5p,E2f1,13555
442,mmu-miR-122-5p,Gde1,56209
443,mmu-miR-122-5p,Gpx7,67305
444,mmu-miR-122-5p,Gys1,14936
445,mmu-miR-122-5p,H2-T24,15042
446,mmu-miR-122-5p,Hfe,15216
447,mmu-miR-122-5p,Hfe2,69585
448,mmu-miR-122-5p,Hist1h1c,50708
449,mmu-miR-122-5p,Klf6,23849
450,mmu-miR-122-5p,March5,69104
451,mmu-miR-122-5p,Myc,17869
452,mmu-miR-122-5p,Nanog,71950
453,mmu-miR-122-5p,Ndrg3,29812
454,mmu-miR-122-5p,Pkm,18746
455,mmu-miR-122-5p,Prom1,19126
456,mmu-miR-122-5p,Rcan1,54720
457,mmu-miR-122-5p,Rell1,100532
458,mmu-miR-122-5p,Sbk1,104175
459,mmu-miR-122-5p,Slc35a4,67843
460,mmu-miR-122-5p,Slc7a1,11987
461,mmu-miR-122-5p,Smarcd1,83797
462,mmu-miR-122-5p,Sox4,20677
463,mmu-miR-122-5p,Tfdp2,211586
464,mmu-miR-122-5p,Tgfbr1,21812
465,mmu-miR-122-5p,Tmed3,66111
466,mmu-miR-122-5p,Tmem206,66950
467,mmu-miR-122-5p,Tmem50b,77975
468,mmu-miR-1224-5p,Itsn1,16443
469,mmu-miR-124-3p,Arfip1,99889
470,mmu-miR-124-3p,B4galt1,14595
471,mmu-miR-124-3p,Bdnf,12064
472,mmu-miR-124-3p,CAV1,857
473,mmu-miR-124-3p,Ccna2,12428
474,mmu-miR-124-3p,Cd164,53599
475,mmu-miR-124-3p,Cdc42,12540
476,mmu-miR-124-3p,Cebpa,12606
477,mmu-miR-124-3p,Cers2,76893
478,mmu-miR-124-3p,Ctdsp1,227292
479,mmu-miR-124-3p,Ctdsp2,52468
480,mmu-miR-124-3p,Dlx2,13392
481,mmu-miR-124-3p,Dlx5,13395
482,mmu-miR-124-3p,Fam177a,73385
483,mmu-miR-124-3p,Fcho2,218503
484,mmu-miR-124-3p,Foxa2,15376
485,mmu-miR-124-3p,Fuca1,71665
486,mmu-miR-124-3p,GRIA2,2891
487,mmu-miR-124-3p,Ginm1,215751
488,mmu-miR-124-3p,Hadhb,231086
489,mmu-miR-124-3p,Itgb1,16412
490,mmu-miR-124-3p,Jag1,16449
491,mmu-miR-124-3p,Lamc1,226519
492,mmu-miR-124-3p,Man1b1,227619
493,mmu-miR-124-3p,Mapk14,26416
494,mmu-miR-124-3p,Mtpn,14489
495,mmu-miR-124-3p,Myadm,50918
496,mmu-miR-124-3p,Myd88,17874
497,mmu-miR-124-3p,Nek9,217718
498,mmu-miR-124-3p,Neurl1b,240055
499,mmu-miR-124-3p,Nfkb1,18033
500,mmu-miR-124-3p,Nr3c2,110784
501,mmu-miR-124-3p,PIM1,5292
502,mmu-miR-124-3p,Plod3,26433
503,mmu-miR-124-3p,Ptbp1,19205
504,mmu-miR-124-3p,Ptbp2,56195
505,mmu-miR-124-3p,Ptpn12,19248
506,mmu-miR-124-3p,Sox9,20682
507,mmu-miR-124-3p,Stat3,20848
508,mmu-miR-124-3p,Stx2,13852
509,mmu-miR-124-3p,Sycp1,20957
510,mmu-miR-124-3p,Sypl,19027
511,mmu-miR-124-3p,Tom1l1,71943
512,mmu-miR-124-3p,Traf6,22034
513,mmu-miR-124-3p,Tsku,244152
514,mmu-miR-124-3p,Vamp3,22319
515,mmu-miR-124-5p,Cdh1,12550
516,mmu-miR-124-5p,Dicer1,192119
517,mmu-miR-124-5p,Dlk1,13386
518,mmu-miR-124-5p,Dll1,13388
519,mmu-miR-124-5p,Fabp7,12140
520,mmu-miR-124-5p,Fgf8,14179
521,mmu-miR-124-5p,Hopx,74318
522,mmu-miR-124-5p,Ntrk2,18212
523,mmu-miR-124-5p,Pou5f1,18999
524,mmu-miR-124-5p,Sox9,20682
525,mmu-miR-124-5p,Vax2,24113
526,mmu-miR-124-5p,Zic2,22772
527,mmu-miR-1251-5p,Lpar2,53978
528,mmu-miR-1251-5p,Onecut3,246086
529,mmu-miR-1251-5p,Vmn1r58,81014
530,mmu-miR-125a-3p,Nfatc4,73181
531,mmu-miR-125a-3p,Tmem263,103266
532,mmu-miR-125a-3p,Zfp446,269870
533,mmu-miR-125a-5p,4632428N05Rik,74048
534,mmu-miR-125a-5p,Cbx7,52609
535,mmu-miR-125a-5p,Hif1an,319594
536,mmu-miR-125a-5p,Ifng,15978
537,mmu-miR-125a-5p,Il13,16163
538,mmu-miR-125a-5p,Il1rn,16181
539,mmu-miR-125a-5p,Lars2,102436
540,mmu-miR-125a-5p,Ppp1ca,19045
541,mmu-miR-125a-5p,Ppp2ca,19052
542,mmu-miR-125a-5p,Ptpn18,19253
543,mmu-miR-125a-5p,Ptpn7,320139
544,mmu-miR-125a-5p,Stat3,20848
545,mmu-miR-125a-5p,Traf6,22034
546,mmu-miR-125a-5p,Uvrag,78610
547,mmu-miR-125b-1-3p,Esr1,13982
548,mmu-miR-125b-1-3p,Nkx2-5,18091
549,mmu-miR-125b-1-3p,Prpf8,192159
550,mmu-miR-125b-1-3p,Srf,20807
551,mmu-miR-125b-2-3p,Ccna2,12428
552,mmu-miR-125b-2-3p,Eef2k,13631
553,mmu-miR-125b-5p,4632428N05Rik,74048
554,mmu-miR-125b-5p,Ajuba,16475
555,mmu-miR-125b-5p,Bak1,12018
556,mmu-miR-125b-5p,Cbfb,12400
557,mmu-miR-125b-5p,Igf2,16002
558,mmu-miR-125b-5p,Il1rn,16181
559,mmu-miR-125b-5p,Jun,16476
560,mmu-miR-125b-5p,Jund,16478
561,mmu-miR-125b-5p,Lars2,102436
562,mmu-miR-125b-5p,Lin28a,83557
563,mmu-miR-125b-5p,Map2k7,26400
564,mmu-miR-125b-5p,Ppp1ca,19045
565,mmu-miR-125b-5p,Prkra,23992
566,mmu-miR-125b-5p,RYBP,23429
567,mmu-miR-125b-5p,Smo,319757
568,mmu-miR-125b-5p,Snai1,20613
569,mmu-miR-125b-5p,Stat3,20848
570,mmu-miR-125b-5p,Suv39h1,20937
571,mmu-miR-125b-5p,Tnf,21926
572,mmu-miR-125b-5p,Vps4b,20479
573,mmu-miR-1264-3p,Ago1,236511
574,mmu-miR-1264-3p,Comt,12846
575,mmu-miR-1264-3p,Foxo1,56458
576,mmu-miR-1264-3p,Gas2l3,237436
577,mmu-miR-1264-3p,Gli3,14634
578,mmu-miR-1264-3p,March5,69104
579,mmu-miR-1264-3p,Marcks,17118
580,mmu-miR-1264-3p,Ncor1,20185
581,mmu-miR-1264-3p,Spta1,20739
582,mmu-miR-1264-3p,Zfp113,56314
583,mmu-miR-1264-5p,Cpne3,70568
584,mmu-miR-126a-3p,Adam9,11502
585,mmu-miR-126a-3p,Dnmt1,13433
586,mmu-miR-126a-3p,Errfi1,74155
587,mmu-miR-126a-3p,Fzd7,14369
588,mmu-miR-126a-3p,Hoxa9,15405
589,mmu-miR-126a-3p,Irs1,16367
590,mmu-miR-126a-3p,Itga11,319480
591,mmu-miR-126a-3p,Pik3r2,18709
592,mmu-miR-126a-3p,Runx1,12394
593,mmu-miR-126a-3p,Sfpi1,20375
594,mmu-miR-126a-3p,Spred1,114715
595,mmu-miR-126a-3p,Tal1,21349
596,mmu-miR-126a-3p,Vegfa,22339
597,mmu-miR-126a-5p,Alcam,11658
598,mmu-miR-126a-5p,Fam198b,68659
599,mmu-miR-126a-5p,H2-D1,14964
600,mmu-miR-126a-5p,Pcdhb19,93890
601,mmu-miR-126a-5p,Rab3c,67295
602,mmu-miR-126a-5p,Runx1,12394
603,mmu-miR-126a-5p,Sfpi1,20375
604,mmu-miR-126a-5p,Tal1,21349
605,mmu-miR-126a-5p,Zfp882,382019
